Posição,Livro,Autor,Preço,Avaliação,Número Reviews
74,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,29.99,4.8,8532
75,Manual de persuasão do FBI,Jack Shafer,25.83,4.7,2119
76,Apertada e sem espaço,Julia Donaldson,28.88,4.8,1165
77,Comunicação não violenta - Nova edição: Técnicas para aprimorar relacionamentos pessoais e profissionais,Marshall B. Rosenberg,49.9,4.8,838
78,Harry Potter e a Câmara Secreta,J.K. Rowling,22.9,4.9,12242
79,"Vermelho, branco e sangue azul",Casey McQuiston,34.5,4.8,16834
80,Os Dois Morrem No Final,Adam Silvera,41.18,4.7,2060
81,O livro das virtudes para crianças,William Bennett,31.9,4.8,3267
82,Laurentino Gomes,Laurentino Gomes,59.4,0.0,0
83,Por que fazemos o que fazemos?,Mario Sergio Cortella,9.99,4.6,4831
84,Box Trilogia O Senhor dos Anéis,J.R.R. Tolkien,105.9,4.8,12912
85,A Escola do Bem e do Mal – Vol. 2: Um mundo sem príncipes: Volume 2,Soman Chainani,34.72,4.7,235
86,"Rastro de Sangue: Jack, o Estripador: O assassino mais perigoso da história espera por você: 1",Kerri Maniscalco,45.9,4.7,1180
87,Jogador Número Dois: Duologia Jogador Número Um – Vol. 2,Ernest Cline,20.3,4.5,717
88,A Biblioteca da Meia-Noite,Matt Haig,37.31,4.7,2831
89,HARUICHI FURUDATE,HARUICHI FURUDATE,34.94,0.0,0
90,"Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós",Lori Gottlieb,44.84,4.8,8375
91,Rápido e devagar: Duas formas de pensar,Daniel Kahneman,55.94,4.7,8020
92,O poder da ação,Paulo Vieira,19.3,4.7,9259
93,O pequeno príncipe,Antoine de Saint-Exupéry,11.6,4.9,2986
94,Lady Killers: Assassinas em Série: As mulheres mais letais da história - Em uma edição igualmente matadora,Tori Telfer,41.8,4.9,10051
95,Como cuidar do seu dinheiro,Thiago Nigro,9.99,4.8,1689
96,As armas da persuasão: Como influenciar e não se deixar influenciar,Robert Cialdini,38.58,4.8,5832
97,Roube como um artista: 10 dicas sobre criatividade,Austin Kleon,22.9,4.7,7405
98,Ansiedade: Como enfrentar o mal do século,Augusto Cury,14.78,4.7,5756
99,Box O povo do ar - acompanha brindes,Holly Black,105.7,4.8,3616
100,Uma Vida com Propósitos,Rick Warren,41.9,4.8,2539
