Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Loum Tchaouna,Ligue 1,Rennes,FRA,ATA,17,10,0,87,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mathys Tel,Ligue 1,Rennes,FRA,ATA,16,7,0,56,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Romain Del Castillo,Ligue 1,Rennes,FRA,MEI,25,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Andy Diouf,Ligue 1,Rennes,FRA,MEI,19,5,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Jeanuel Belocian,Ligue 1,Rennes,FRA,DEF,16,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Walter Benítez,Ligue 1,Nice,ARG,GK,28,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Jean-Clair Todibo,Ligue 1,Nice,FRA,DEF,21,36,35,3115,34.6,1,0,1,0,0,6,0,0.03,0.0,0.03
Dante,Ligue 1,Nice,BRA,DEF,37,34,33,2870,31.9,0,0,0,0,0,7,3,0.0,0.0,0.0
Amine Gouiri,Ligue 1,Nice,FRA,ATA,21,38,32,2754,30.6,10,9,7,3,5,3,0,0.33,0.29,0.62
Pablo Rosario,Ligue 1,Nice,NED,MEI,24,36,31,2729,30.3,0,2,0,0,0,7,0,0.0,0.07,0.07
Melvin Bard,Ligue 1,Nice,FRA,DEF,20,33,30,2589,28.8,2,2,2,0,0,3,0,0.07,0.07,0.14
Andy Delort,Ligue 1,Nice,ALG,ATA,29,32,26,2448,27.2,16,2,13,3,3,3,0,0.59,0.07,0.66
Mario Lemina,Ligue 1,Nice,GAB,MEI,27,32,24,1967,21.9,2,0,2,0,0,7,1,0.09,0.0,0.09
Justin Kluivert,Ligue 1,Nice,NED,MEI,22,27,24,1868,20.8,4,5,4,0,0,6,1,0.19,0.24,0.43
Hicham Boudaoui,Ligue 1,Nice,ALG,MEI,21,29,21,1621,18.0,3,2,3,0,0,7,0,0.17,0.11,0.28
Khéphren Thuram-Ulie,Ligue 1,Nice,FRA,MEI,20,36,20,1901,21.1,4,2,4,0,0,4,0,0.19,0.09,0.28
Jordan Lotomba,Ligue 1,Nice,SUI,DEF,22,30,19,1782,19.8,0,0,0,0,0,4,0,0.0,0.0,0.0
Kasper Dolberg,Ligue 1,Nice,DEN,ATA,23,26,19,1492,16.6,6,2,4,2,2,0,0,0.36,0.12,0.48
Flavius Daniliuc,Ligue 1,Nice,AUT,DEF,20,24,14,1293,14.4,0,0,0,0,0,4,0,0.0,0.0,0.0
Youcef Atal,Ligue 1,Nice,ALG,DEF,25,17,13,1140,12.7,2,1,2,0,0,4,0,0.16,0.08,0.24
Calvin Stengs,Ligue 1,Nice,NED,MEI,22,24,11,1073,11.9,1,1,1,0,0,1,0,0.08,0.08,0.17
Hassane Kamara,Ligue 1,Nice,CIV,MEI,27,11,7,544,6.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Morgan Schneiderlin,Ligue 1,Nice,FRA,MEI,31,20,5,649,7.2,0,1,0,0,0,1,1,0.0,0.14,0.14
Lucas Da Cunha,Ligue 1,Nice,FRA,MEI,20,10,5,393,4.4,0,1,0,0,0,0,0,0.0,0.23,0.23
Jordan Amavi,Ligue 1,Nice,FRA,DEF,27,8,4,413,4.6,0,0,0,0,0,1,0,0.0,0.0,0.0
Evann Guessand,Ligue 1,Nice,FRA,ATA,20,20,2,438,4.9,1,2,1,0,0,3,0,0.2,0.41,0.61
Bilal Brahimi,Ligue 1,Nice,ALG,MEI,21,11,2,378,4.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Dan Ndoye,Ligue 1,Nice,SUI,ATA,20,3,2,205,2.3,0,1,0,0,0,0,0,0.0,0.43,0.43
Danilo Barbosa,Ligue 1,Nice,BRA,DEF,25,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcin Bułka,Ligue 1,Nice,POL,GK,21,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Alexis Claude-Maurice,Ligue 1,Nice,FRA,MEI,23,10,0,209,2.3,0,2,0,0,0,1,0,0.0,0.87,0.87
Myziane Maolida,Ligue 1,Nice,FRA,MEI,22,1,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Péter Gulácsi,Bundesliga,RB Leipzig,HUN,GK,31,33,33,2967,33.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Christopher Nkunku,Bundesliga,RB Leipzig,FRA,ATA,23,34,31,2723,30.3,20,13,19,1,1,2,0,0.66,0.43,1.09
Willi Orban,Bundesliga,RB Leipzig,HUN,DEF,28,30,30,2642,29.4,2,1,2,0,0,1,0,0.07,0.03,0.1
Joško Gvardiol,Bundesliga,RB Leipzig,CRO,DEF,19,29,28,2409,26.8,2,2,2,0,0,7,0,0.07,0.07,0.15
Angeliño,Bundesliga,RB Leipzig,ESP,DEF,24,29,26,2298,25.5,2,5,2,0,0,3,0,0.08,0.2,0.27
Kevin Kampl,Bundesliga,RB Leipzig,SVN,MEI,30,27,25,1899,21.1,0,1,0,0,0,4,0,0.0,0.05,0.05
André Silva,Bundesliga,RB Leipzig,POR,ATA,25,33,24,2076,23.1,11,3,8,3,3,1,0,0.48,0.13,0.61
Mohamed Simakan,Bundesliga,RB Leipzig,FRA,DEF,21,28,23,2009,22.3,1,0,1,0,0,5,0,0.04,0.0,0.04
Nordi Mukiele,Bundesliga,RB Leipzig,FRA,DEF,23,28,21,1842,20.5,1,3,1,0,0,3,0,0.05,0.15,0.2
Emil Forsberg,Bundesliga,RB Leipzig,SWE,MEI,29,31,20,1706,19.0,6,2,2,4,4,2,0,0.32,0.11,0.42
Lukas Klostermann,Bundesliga,RB Leipzig,GER,DEF,25,23,17,1648,18.3,0,1,0,0,0,1,0,0.0,0.05,0.05
Dominik Szoboszlai,Bundesliga,RB Leipzig,HUN,MEI,20,31,15,1543,17.1,6,8,6,0,1,2,0,0.35,0.47,0.82
Amadou Haidara,Bundesliga,RB Leipzig,MLI,MEI,23,20,15,1326,14.7,3,1,3,0,0,2,0,0.2,0.07,0.27
Konrad Laimer,Bundesliga,RB Leipzig,AUT,MEI,24,26,15,1240,13.8,4,4,4,0,0,2,0,0.29,0.29,0.58
Tyler Adams,Bundesliga,RB Leipzig,USA,MEI,22,24,12,1351,15.0,0,1,0,0,0,5,0,0.0,0.07,0.07
Benjamin Henrichs,Bundesliga,RB Leipzig,GER,DEF,24,22,12,1143,12.7,3,3,3,0,0,3,0,0.24,0.24,0.47
Yussuf Poulsen,Bundesliga,RB Leipzig,DEN,ATA,27,25,12,1079,12.0,6,0,6,0,0,2,0,0.5,0.0,0.5
Dani Olmo,Bundesliga,RB Leipzig,ESP,MEI,23,19,7,743,8.3,3,3,3,0,0,2,0,0.36,0.36,0.72
Marcel Halstenberg,Bundesliga,RB Leipzig,GER,DEF,29,8,5,507,5.6,1,0,1,0,0,0,0,0.18,0.0,0.18
Hugo Novoa,Bundesliga,RB Leipzig,ESP,MEI,18,8,1,136,1.5,1,0,1,0,0,0,0,0.67,0.0,0.67
Brian Brobbey,Bundesliga,RB Leipzig,NED,ATA,19,9,1,131,1.5,0,2,0,0,0,0,0,0.0,1.33,1.33
Josep Martinez,Bundesliga,RB Leipzig,ESP,GK,23,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hwang Hee-chan,Bundesliga,RB Leipzig,KOR,ATA,25,2,0,49,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcel Sabitzer,Bundesliga,RB Leipzig,AUT,MEI,27,2,0,49,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0
Ilaix Moriba,Bundesliga,RB Leipzig,GUI,MEI,18,2,0,32,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Joscha Wosz,Bundesliga,RB Leipzig,GER,DEF,19,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Solomon Bonnah,Bundesliga,RB Leipzig,NED,DEF,17,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Nabil Fekir,La Liga,Real Betis,FRA,MEI,28,34,33,2794,31.0,6,8,6,0,0,7,1,0.19,0.26,0.45
Sergio Canales,La Liga,Real Betis,ESP,ATA,30,34,33,2791,31.0,5,8,5,0,0,6,0,0.16,0.26,0.42
Guido Rodríguez,La Liga,Real Betis,ARG,MEI,27,32,29,2529,28.1,1,2,1,0,0,9,1,0.04,0.07,0.11
Álex Moreno,La Liga,Real Betis,ESP,DEF,28,30,28,2404,26.7,5,3,5,0,0,3,1,0.19,0.11,0.3
Juanmi,La Liga,Real Betis,ESP,ATA,28,33,26,2131,23.7,16,4,16,0,0,5,0,0.68,0.17,0.84
Marc Bartra,La Liga,Real Betis,ESP,DEF,30,23,23,1993,22.1,1,0,1,0,0,5,0,0.05,0.0,0.05
Germán Pezzella,La Liga,Real Betis,ARG,DEF,30,23,22,1988,22.1,1,0,1,0,0,5,1,0.05,0.0,0.05
Héctor Bellerín,La Liga,Real Betis,ESP,DEF,26,23,22,1979,22.0,0,2,0,0,0,2,1,0.0,0.09,0.09
Rui Silva,La Liga,Real Betis,POR,GK,27,22,21,1964,21.8,0,0,0,0,0,2,0,0.0,0.0,0.0
William Carvalho,La Liga,Real Betis,POR,MEI,29,33,20,1805,20.1,2,3,2,0,0,6,0,0.1,0.15,0.25
Willian José,La Liga,Real Betis,BRA,ATA,29,32,19,1604,17.8,9,4,6,3,3,2,0,0.51,0.22,0.73
Borja Iglesias,La Liga,Real Betis,ESP,ATA,28,33,18,1573,17.5,10,0,7,3,3,4,0,0.57,0.0,0.57
Claudio Bravo,La Liga,Real Betis,CHI,GK,38,17,17,1456,16.2,0,0,0,0,0,2,0,0.0,0.0,0.0
Víctor Ruiz,La Liga,Real Betis,ESP,DEF,32,18,17,1424,15.8,0,0,0,0,0,2,0,0.0,0.0,0.0
Andrés Guardado,La Liga,Real Betis,MEX,MEI,34,28,17,1393,15.5,0,1,0,0,0,4,0,0.0,0.06,0.06
Édgar González,La Liga,Real Betis,ESP,DEF,24,21,14,1464,16.3,1,1,1,0,0,6,0,0.06,0.06,0.12
Rodrigo,La Liga,Real Betis,ESP,ATA,21,21,10,881,9.8,1,2,1,0,0,1,0,0.1,0.2,0.31
Aitor Ruibal,La Liga,Real Betis,ESP,ATA,25,19,9,856,9.5,0,0,0,0,0,6,0,0.0,0.0,0.0
Youssouf Sabaly,La Liga,Real Betis,SEN,DEF,28,10,9,788,8.8,0,1,0,0,0,1,0,0.0,0.11,0.11
Juan Miranda,La Liga,Real Betis,ESP,DEF,21,13,9,783,8.7,0,2,0,0,0,3,0,0.0,0.23,0.23
Martín Montoya,La Liga,Real Betis,ESP,DEF,30,6,6,518,5.8,0,1,0,0,0,2,0,0.0,0.17,0.17
Paul Akouokou,La Liga,Real Betis,CIV,MEI,23,8,6,516,5.7,0,0,0,0,0,2,1,0.0,0.0,0.0
Cristian Tello,La Liga,Real Betis,ESP,ATA,29,23,5,819,9.1,2,2,2,0,0,2,0,0.22,0.22,0.44
Joaquín,La Liga,Real Betis,ESP,ATA,40,21,2,471,5.2,0,1,0,0,0,0,0,0.0,0.19,0.19
Diego Lainez,La Liga,Real Betis,MEX,ATA,21,7,1,140,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Roberto González,La Liga,Real Betis,ESP,ATA,20,4,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Kike Hermoso,La Liga,Real Betis,ESP,DEF,21,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0
Víctor Camarasa,La Liga,Real Betis,ESP,MEI,27,7,0,108,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Calderón,La Liga,Real Betis,ESP,DEF,21,1,0,65,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Sergej Milinković-Savić,Serie A,Lazio,SRB,MEI,26,37,36,3100,34.4,11,10,11,0,0,6,1,0.32,0.29,0.61
Felipe Anderson,Serie A,Lazio,BRA,ATA,28,38,33,2888,32.1,6,8,6,0,0,2,0,0.19,0.25,0.44
Ciro Immobile,Serie A,Lazio,ITA,ATA,31,31,31,2711,30.1,27,2,20,7,9,4,0,0.9,0.07,0.96
Adam Marušić,Serie A,Lazio,MNE,DEF,28,33,30,2721,30.2,1,0,1,0,0,6,1,0.03,0.0,0.03
Francesco Acerbi,Serie A,Lazio,ITA,DEF,33,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0.0,0.14
Luiz Felipe,Serie A,Lazio,ITA,DEF,24,31,28,2491,27.7,0,0,0,0,0,9,1,0.0,0.0,0.0
Luis Alberto,Serie A,Lazio,ESP,MEI,28,34,27,2353,26.1,5,9,5,0,0,5,0,0.19,0.34,0.54
Pedro,Serie A,Lazio,ESP,ATA,34,32,25,2033,22.6,9,4,9,0,0,5,0,0.4,0.18,0.58
Elseid Hysaj,Serie A,Lazio,ALB,DEF,27,29,24,2027,22.5,1,0,1,0,0,3,0,0.04,0.0,0.04
Thomas Strakosha,Serie A,Lazio,ALB,GK,26,23,23,2070,23.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Mattia Zaccagni,Serie A,Lazio,ITA,ATA,26,29,21,1876,20.8,4,5,4,0,0,6,0,0.19,0.24,0.43
Danilo Cataldi,Serie A,Lazio,ITA,MEI,26,32,19,1707,19.0,1,2,1,0,0,8,0,0.05,0.11,0.16
Lucas Leiva,Serie A,Lazio,BRA,MEI,34,35,19,1697,18.9,0,0,0,0,0,9,0,0.0,0.0,0.0
Patric,Serie A,Lazio,ESP,DEF,28,24,19,1649,18.3,1,1,1,0,0,7,1,0.05,0.05,0.11
Manuel Lazzari,Serie A,Lazio,ITA,DEF,27,31,16,1665,18.5,3,3,3,0,0,3,0,0.16,0.16,0.32
Pepe Reina,Serie A,Lazio,ESP,GK,38,15,15,1350,15.0,0,1,0,0,0,3,0,0.0,0.07,0.07
Toma Bašić,Serie A,Lazio,CRO,MEI,24,29,9,982,10.9,0,2,0,0,0,3,0,0.0,0.18,0.18
Ștefan Radu,Serie A,Lazio,ROU,DEF,34,10,6,556,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,Serie A,Lazio,CIV,MEI,28,10,4,315,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0
Jovane Cabral,Serie A,Lazio,CPV,ATA,23,3,2,190,2.1,1,0,1,0,0,0,0,0.48,0.0,0.48
Vedat Muriqi,Serie A,Lazio,KVX,ATA,27,11,1,215,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Raúl Moro,Serie A,Lazio,ESP,ATA,18,11,1,201,2.2,0,1,0,0,0,0,0,0.0,0.45,0.45
Luka Romero,Serie A,Lazio,ARG,ATA,16,8,0,84,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Anderson Lima,Serie A,Lazio,BRA,MEI,21,4,0,65,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0
Dimitrije Kamenović,Serie A,Lazio,SRB,DEF,21,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Gonzalo Escalante,Serie A,Lazio,ARG,MEI,28,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Denis Vavro,Serie A,Lazio,SVK,DEF,25,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Robin Knoche,Bundesliga,Union Berlin,GER,DEF,29,33,33,2970,33.0,0,0,0,0,0,6,0,0.0,0.0,0.0
Rani Khedira,Bundesliga,Union Berlin,GER,MEI,27,32,32,2757,30.6,0,1,0,0,0,6,0,0.0,0.03,0.03
Taiwo Awoniyi,Bundesliga,Union Berlin,NGA,ATA,23,31,29,2174,24.2,15,1,13,2,2,1,0,0.62,0.04,0.66
Grischa Prömel,Bundesliga,Union Berlin,GER,MEI,26,29,28,2422,26.9,8,1,8,0,0,4,0,0.3,0.04,0.33
Andreas Luthe,Bundesliga,Union Berlin,GER,GK,34,27,27,2430,27.0,0,0,0,0,0,3,0,0.0,0.0,0.0
Timo Baumgartl,Bundesliga,Union Berlin,GER,DEF,25,25,25,2166,24.1,1,2,1,0,0,5,0,0.04,0.08,0.12
Niko Gießelmann,Bundesliga,Union Berlin,GER,DEF,29,28,25,2083,23.1,3,6,3,0,0,3,0,0.13,0.26,0.39
Christopher Trimmel,Bundesliga,Union Berlin,AUT,DEF,34,25,23,1990,22.1,2,0,2,0,0,5,0,0.09,0.0,0.09
Genki Haraguchi,Bundesliga,Union Berlin,JPN,MEI,30,30,23,1755,19.5,2,6,2,0,0,2,0,0.1,0.31,0.41
Paul Jaeckel,Bundesliga,Union Berlin,GER,DEF,23,24,22,2047,22.7,0,0,0,0,0,5,0,0.0,0.0,0.0
Sheraldo Becker,Bundesliga,Union Berlin,SUR,ATA,26,28,22,1758,19.5,4,6,4,0,0,4,0,0.21,0.31,0.51
Max Kruse,Bundesliga,Union Berlin,GER,ATA,33,16,16,1270,14.1,5,4,2,3,3,1,0,0.35,0.28,0.64
Julian Ryerson,Bundesliga,Union Berlin,NOR,DEF,23,28,13,1429,15.9,2,0,2,0,0,3,0,0.13,0.0,0.13
Marvin Friedrich,Bundesliga,Union Berlin,GER,DEF,25,13,13,1169,13.0,0,0,0,0,0,4,1,0.0,0.0,0.0
Bastian Oczipka,Bundesliga,Union Berlin,GER,DEF,32,18,9,932,10.4,0,1,0,0,0,1,0,0.0,0.1,0.1
Frederik Rønnow,Bundesliga,Union Berlin,DEN,GK,28,7,7,630,7.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Dominique Heintz,Bundesliga,Union Berlin,GER,DEF,27,7,7,467,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Andreas Voglsammer,Bundesliga,Union Berlin,GER,ATA,29,32,5,882,9.8,2,1,2,0,0,1,0,0.2,0.1,0.31
Levin Öztunalı,Bundesliga,Union Berlin,GER,MEI,25,18,5,572,6.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Kevin Möhwald,Bundesliga,Union Berlin,GER,MEI,28,16,3,354,3.9,0,0,0,0,0,2,0,0.0,0.0,0.0
Kevin Behrens,Bundesliga,Union Berlin,GER,ATA,30,24,2,499,5.5,2,2,2,0,0,1,0,0.36,0.36,0.73
Sven Michel,Bundesliga,Union Berlin,GER,ATA,31,13,2,338,3.8,3,1,3,0,0,2,0,0.79,0.26,1.05
Marcus Ingvartsen,Bundesliga,Union Berlin,DEN,MEI,25,2,2,122,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0
András Schäfer,Bundesliga,Union Berlin,HUN,MEI,22,8,1,239,2.7,1,1,1,0,0,2,0,0.37,0.37,0.74
Cedric Teuchert,Bundesliga,Union Berlin,GER,MEI,24,6,0,105,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Keita Endo,Bundesliga,Union Berlin,JPN,MEI,23,4,0,55,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Anthony Ujah,Bundesliga,Union Berlin,NGA,ATA,30,3,0,35,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Sebastian Griesbeck,Bundesliga,Union Berlin,GER,MEI,30,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Matz Sels,Ligue 1,Strasbourg,BEL,GK,29,37,37,3330,37.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Gerzino Nyamsi,Ligue 1,Strasbourg,FRA,DEF,24,34,33,2984,33.2,0,2,0,0,0,4,0,0.0,0.06,0.06
Ludovic Ajorque,Ligue 1,Strasbourg,REU,ATA,27,36,31,2738,30.4,12,8,9,3,3,5,1,0.39,0.26,0.66
Alexander Djiku,Ligue 1,Strasbourg,GHA,DEF,26,31,30,2694,29.9,1,0,1,0,0,10,1,0.03,0.0,0.03
Lucas Perrin,Ligue 1,Strasbourg,FRA,DEF,22,31,29,2502,27.8,1,1,1,0,0,5,0,0.04,0.04,0.07
Frederic Guilbert,Ligue 1,Strasbourg,FRA,DEF,26,33,28,2516,28.0,0,4,0,0,0,4,0,0.0,0.14,0.14
Kévin Gameiro,Ligue 1,Strasbourg,FRA,ATA,34,35,28,2385,26.5,11,3,10,1,3,0,0,0.42,0.11,0.53
Adrien Thomasson,Ligue 1,Strasbourg,FRA,MEI,27,31,27,2389,26.5,8,4,8,0,0,2,1,0.3,0.15,0.45
Sanjin Prcić,Ligue 1,Strasbourg,BIH,MEI,27,32,27,2186,24.3,1,0,1,0,0,4,0,0.04,0.0,0.04
Anthony Caci,Ligue 1,Strasbourg,FRA,DEF,24,37,26,2395,26.6,1,3,1,0,0,4,0,0.04,0.11,0.15
Jean-Ricner Bellegarde,Ligue 1,Strasbourg,FRA,MEI,23,36,26,2332,25.9,2,3,2,0,0,5,0,0.08,0.12,0.19
Ibrahima Sissoko,Ligue 1,Strasbourg,FRA,MEI,23,35,26,2303,25.6,2,5,2,0,0,6,0,0.08,0.2,0.27
Dimitri Liénard,Ligue 1,Strasbourg,FRA,DEF,33,33,23,2044,22.7,2,3,2,0,0,8,0,0.09,0.13,0.22
Habib Diallo,Ligue 1,Strasbourg,SEN,ATA,26,31,16,1541,17.1,11,1,9,2,2,2,0,0.64,0.06,0.7
Jean-Eudes Aholou,Ligue 1,Strasbourg,CIV,MEI,27,25,11,1004,11.2,1,1,1,0,0,2,0,0.09,0.09,0.18
Maxime Le Marchand,Ligue 1,Strasbourg,FRA,DEF,31,12,9,860,9.6,1,1,1,0,0,4,0,0.1,0.1,0.21
Karol Fila,Ligue 1,Strasbourg,POL,DEF,23,16,7,560,6.2,0,0,0,0,0,3,0,0.0,0.0,0.0
Abdul Majeed Waris,Ligue 1,Strasbourg,GHA,MEI,29,15,2,327,3.6,2,0,2,0,0,1,0,0.56,0.0,0.56
Mouhamadou Diarra,Ligue 1,Strasbourg,SEN,MEI,17,4,1,109,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Eiji Kawashima,Ligue 1,Strasbourg,JPN,GK,38,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dion Moise Sahi,Ligue 1,Strasbourg,CIV,ATA,19,8,0,128,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Nordine Kandil,Ligue 1,Strasbourg,FRA,MEI,19,5,0,90,1.0,0,1,0,0,0,1,0,0.0,1.0,1.0
Ismaël Doukouré,Ligue 1,Strasbourg,FRA,DEF,18,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Mahame Siby,Ligue 1,Strasbourg,MLI,MEI,25,2,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Mehdi Chahiri,Ligue 1,Strasbourg,MAR,MEI,25,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Rui Patrício,Serie A,Roma,POR,GK,33,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Tammy Abraham,Serie A,Roma,ENG,ATA,23,37,36,3084,34.3,17,4,14,3,3,9,0,0.5,0.12,0.61
Gianluca Mancini,Serie A,Roma,ITA,DEF,25,33,33,2878,32.0,0,0,0,0,0,16,1,0.0,0.0,0.0
Roger Ibanez,Serie A,Roma,BRA,DEF,22,34,32,2889,32.1,3,0,3,0,0,9,0,0.09,0.0,0.09
Rick Karsdorp,Serie A,Roma,NED,DEF,26,36,32,2883,32.0,0,2,0,0,0,9,1,0.0,0.06,0.06
Bryan Cristante,Serie A,Roma,ITA,MEI,26,34,29,2678,29.8,2,0,2,0,0,9,0,0.07,0.0,0.07
Henrikh Mkhitaryan,Serie A,Roma,ARM,MEI,32,31,29,2495,27.7,5,6,5,0,0,4,1,0.18,0.22,0.4
Lorenzo Pellegrini,Serie A,Roma,ITA,MEI,25,28,27,2289,25.4,9,3,7,2,3,8,1,0.35,0.12,0.47
Jordan Veretout,Serie A,Roma,FRA,MEI,28,36,26,2319,25.8,4,8,3,1,2,6,0,0.16,0.31,0.47
Chris Smalling,Serie A,Roma,ENG,DEF,31,27,23,2091,23.2,3,0,3,0,0,0,0,0.13,0.0,0.13
Nicolò Zaniolo,Serie A,Roma,ITA,ATA,22,28,23,1971,21.9,2,1,2,0,0,12,2,0.09,0.05,0.14
Matías Viña,Serie A,Roma,URU,DEF,23,26,18,1565,17.4,0,1,0,0,0,2,0,0.0,0.06,0.06
Marash Kumbulla,Serie A,Roma,ALB,DEF,21,17,13,1025,11.4,0,0,0,0,0,6,0,0.0,0.0,0.0
Sérgio Oliveira,Serie A,Roma,POR,MEI,29,14,13,892,9.9,2,0,1,1,1,5,0,0.2,0.0,0.2
Nicola Zalewski,Serie A,Roma,POL,DEF,19,16,9,793,8.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Stephan El Shaarawy,Serie A,Roma,ITA,DEF,28,27,8,1055,11.7,3,0,3,0,0,1,0,0.26,0.0,0.26
Ainsley Maitland-Niles,Serie A,Roma,ENG,DEF,23,8,7,487,5.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Felix Afena-Gyan,Serie A,Roma,GHA,ATA,18,17,6,668,7.4,2,0,2,0,0,5,1,0.27,0.0,0.27
Eldor Shomurodov,Serie A,Roma,UZB,ATA,26,28,5,784,8.7,3,4,3,0,0,2,0,0.34,0.46,0.8
Carles Pérez,Serie A,Roma,ESP,MEI,23,19,3,554,6.2,1,1,1,0,0,2,0,0.16,0.16,0.32
Riccardo Calafiori,Serie A,Roma,ITA,DEF,19,6,2,174,1.9,0,1,0,0,0,2,0,0.0,0.53,0.53
Amadou Diawara,Serie A,Roma,GUI,MEI,24,4,2,170,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Leonardo Spinazzola,Serie A,Roma,ITA,DEF,28,3,2,127,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Borja Mayoral,Serie A,Roma,ESP,ATA,24,5,1,96,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Ebrima Darboe,Serie A,Roma,GAM,MEI,20,1,1,63,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Edoardo Bove,Serie A,Roma,ITA,MEI,19,11,0,68,0.8,1,0,1,0,0,0,0,1.25,0.0,1.25
Cristian Volpato,Serie A,Roma,ITA,MEI,17,3,0,38,0.4,1,0,1,0,0,0,0,2.5,0.0,2.5
Seko Fofana,Ligue 1,Lens,CIV,MEI,26,38,38,3357,37.3,8,1,8,0,0,2,0,0.21,0.03,0.24
Jonathan Gradit,Ligue 1,Lens,FRA,DEF,28,35,35,3067,34.1,0,0,0,0,0,7,0,0.0,0.0,0.0
Jonathan Clauss,Ligue 1,Lens,FRA,DEF,28,37,35,3046,33.8,5,11,5,0,0,3,0,0.15,0.33,0.47
Cheick Doucouré,Ligue 1,Lens,MLI,MEI,21,34,33,2946,32.7,1,4,1,0,0,7,1,0.03,0.12,0.15
Kevin Danso,Ligue 1,Lens,AUT,DEF,22,33,32,2790,31.0,2,2,2,0,0,9,2,0.06,0.06,0.13
Facundo Medina,Ligue 1,Lens,ARG,DEF,22,31,30,2593,28.8,1,0,1,0,0,11,0,0.03,0.0,0.03
Florian Sotoca,Ligue 1,Lens,FRA,ATA,30,35,28,2480,27.6,6,4,4,2,2,7,0,0.22,0.14,0.36
Przemysław Frankowski,Ligue 1,Lens,POL,DEF,26,37,28,2448,27.2,6,5,6,0,0,5,0,0.22,0.18,0.4
Jean-Louis Leca,Ligue 1,Lens,FRA,GK,35,27,27,2313,25.7,0,0,0,0,0,3,1,0.0,0.0,0.0
Arnaud Kalimuendo,Ligue 1,Lens,FRA,ATA,19,32,27,2148,23.9,12,0,10,2,2,1,1,0.5,0.0,0.5
