Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Kaio Jorge,Serie A,Juventus,BRA,MEI,19,9,0,121,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Marley Aké,Serie A,Juventus,FRA,MEI,20,4,0,77,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Carlo Pinsoglio,Serie A,Juventus,ITA,GK,31,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Cristiano Ronaldo,Serie A,Juventus,POR,ATA,36,1,0,31,0.3,0,0,0,0,0,1,0,0.0,0.0,0.0
Martin Palumbo,Serie A,Juventus,NOR,MEI,19,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Matìas Soulé,Serie A,Juventus,ARG,ATA,18,2,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Alexander Nübel,Ligue 1,Monaco,GER,GK,24,38,38,3420,38.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Aurélien Tchouaméni,Ligue 1,Monaco,FRA,MEI,21,35,33,2929,32.5,3,2,3,0,0,11,1,0.09,0.06,0.15
Caio Henrique Oliveira Silva,Ligue 1,Monaco,BRA,DEF,24,34,31,2662,29.6,2,8,2,0,0,5,0,0.07,0.27,0.34
Axel Disasi,Ligue 1,Monaco,FRA,DEF,23,32,30,2721,30.2,1,0,1,0,0,5,0,0.03,0.0,0.03
Wissam Ben Yedder,Ligue 1,Monaco,FRA,ATA,30,37,29,2529,28.1,25,5,17,8,8,3,0,0.89,0.18,1.07
Kevin Volland,Ligue 1,Monaco,GER,MEI,29,34,29,2436,27.1,9,9,8,1,1,10,0,0.33,0.33,0.66
Sofiane Diop,Ligue 1,Monaco,FRA,MEI,21,30,24,1948,21.6,6,4,6,0,0,6,0,0.28,0.19,0.46
Gelson Martins,Ligue 1,Monaco,POR,ATA,26,32,24,1905,21.2,4,3,4,0,0,4,0,0.19,0.14,0.33
Youssouf Fofana,Ligue 1,Monaco,FRA,MEI,22,33,23,2190,24.3,0,4,0,0,0,4,0,0.0,0.16,0.16
Ruben Aguilar,Ligue 1,Monaco,FRA,DEF,28,28,22,2140,23.8,0,2,0,0,0,4,0,0.0,0.08,0.08
Benoît Badiashile,Ligue 1,Monaco,FRA,DEF,20,24,21,1838,20.4,1,0,1,0,0,4,0,0.05,0.0,0.05
Guillermo Maripán,Ligue 1,Monaco,CHI,DEF,27,26,21,1832,20.4,0,0,0,0,0,5,0,0.0,0.0,0.0
Jean Lucas,Ligue 1,Monaco,BRA,MEI,23,28,18,1445,16.1,1,1,1,0,0,3,1,0.06,0.06,0.12
Aleksandr Golovin,Ligue 1,Monaco,RUS,ATA,25,27,17,1502,16.7,3,4,3,0,0,4,1,0.18,0.24,0.42
Vanderson,Ligue 1,Monaco,BRA,ATA,20,17,12,1120,12.4,2,1,2,0,0,3,0,0.16,0.08,0.24
